target_name,inhibitor_name,monomer_id,affinity_type,affinity_value,affinity_value_display,affinity_strength,reactant_set_id,source_organism
"[3-methyl-2-oxobutanoate dehydrogenase [lipoamide]] kinase, mitochondrial",BDBM784894,784894,IC50,410.0, 410,1,1571423,Human
"[3-methyl-2-oxobutanoate dehydrogenase [lipoamide]] kinase, mitochondrial",BDBM784910,784910,IC50,7.4, 7.40,0,1571439,Human
"[3-methyl-2-oxobutanoate dehydrogenase [lipoamide]] kinase, mitochondrial",BDBM784920,784920,IC50,3100.0, 3100,1,1571449,Human
"[3-methyl-2-oxobutanoate dehydrogenase [lipoamide]] kinase, mitochondrial",BDBM784929,784929,IC50,7200.0, 7200,1,1571458,Human
"[3-methyl-2-oxobutanoate dehydrogenase [lipoamide]] kinase, mitochondrial",BDBM784945,784945,IC50,260.0, 260,1,1571474,Human
"[3-methyl-2-oxobutanoate dehydrogenase [lipoamide]] kinase, mitochondrial",BDBM784961,784961,IC50,56.0, 56.0,1,1571490,Human
"[3-methyl-2-oxobutanoate dehydrogenase [lipoamide]] kinase, mitochondrial",BDBM784996,784996,IC50,370.0, 370,1,1571525,Human
"[3-methyl-2-oxobutanoate dehydrogenase [lipoamide]] kinase, mitochondrial",BDBM785011,785011,IC50,250.0, 250,1,1571540,Human
"[3-methyl-2-oxobutanoate dehydrogenase [lipoamide]] kinase, mitochondrial",BDBM785036,785036,IC50,47.0, 47.0,1,1571565,Human
"[3-methyl-2-oxobutanoate dehydrogenase [lipoamide]] kinase, mitochondrial",BDBM50592276,50592276,IC50,1500.0, 1500,1,50407763,Human
"[Pyruvate dehydrogenase (acetyl-transferring)] kinase isozyme 1, mitochondrial",BDBM20928,20928,IC50,11900.0, 11900,2,50247961,Human
"[Pyruvate dehydrogenase (acetyl-transferring)] kinase isozyme 1, mitochondrial",BDBM25121,25121,IC50,10000.0,>10000,2,51623336,Human
"[Pyruvate dehydrogenase (acetyl-transferring)] kinase isozyme 1, mitochondrial",BDBM41575,41575,IC50,10000.0,>10000,2,50576366,Human
"[Pyruvate dehydrogenase (acetyl-transferring)] kinase isozyme 1, mitochondrial",BDBM467021,467021,IC50,14.0, 14.0,1,965765,Human
